trial,mean_reward,learning_rate,ent_coef,clip_range,n_steps,batch_size,n_epochs,gae_lambda
1,13.791196629753559,0.001,0.007,0.2,512,256,10,0.98
2,13.689181866447903,0.0005,0.01,0.05,512,512,15,0.9
