#{"t_start": 1765366022.8958004, "env_id": "intersection-v0"}
r,l,t
7.298444,10,4.745858
7.633114,9,5.566316
-2.450147,11,6.383718
-4.382153,13,7.416461
-2.365057,12,8.395868
5.562945,13,9.323257
-1.372771,6,9.7794
-2.0,8,10.483798
8.562943,11,11.46686
-2.0,8,12.122141
6.0,13,13.100103
2.0,13,14.035291
0.0,6,14.480267
-2.0,6,14.868872
5.126012,11,15.864653
-2.472125,8,16.530925
-1.318719,7,17.143066
7.300606,10,17.917265
1.0,13,18.90404
-2.756723,7,19.528266
4.0,13,20.50872
10.0,10,21.284159
-3.0,13,22.332976
10.0,10,23.069806
-0.382068,6,23.426989
3.459714,13,24.414638
3.0,6,24.932452
-2.539811,9,25.587867
3.473256,13,26.571904
-1.0,5,26.873531
1.604547,13,27.842909
-3.886463,11,28.564638
6.353119,9,29.3019
6.167305,11,30.103488
0.0,6,30.534248
-4.304191,8,31.130923
-1.379585,6,31.668036
2.0,13,32.665751
2.18142,13,33.750173
7.0,9,34.498048
-2.0,8,35.034899
9.0,9,35.679576
3.077654,13,36.679972
1.549853,13,37.740146
-3.526753,10,38.468264
5.246829,13,39.497025
-2.373197,6,39.932771
2.0,13,41.097032
2.771305,13,42.086275
-1.379585,6,42.585633
10.0,10,43.5344
-1.960532,5,43.925741
10.0,10,63.294186
6.260103,9,63.994147
-4.448604,10,64.904636
-1.366575,6,65.3852
2.681634,13,66.521011
7.18082,11,67.798544
6.219861,11,68.729162
-1.0,5,69.278522
5.68122,13,70.360003
-1.0,5,70.787688
-2.447873,7,71.475246
-2.781747,10,72.357747
0.604273,13,73.444702
5.756205,12,74.282034
1.475576,13,75.316222
1.0,13,76.189561
0.0,13,77.12165
-1.372771,6,77.665411
2.308854,13,78.661047
-0.946861,6,79.17662
-3.712106,7,79.801108
2.472861,13,80.759077
1.549795,13,81.721232
2.104023,13,82.82642
4.475044,13,83.925427
8.176755,12,84.894192
7.626732,9,85.69126
4.549797,13,86.74386
3.159321,13,87.729516
-2.766438,11,88.59133
5.869127,12,89.541435
7.101187,13,90.470679
2.536345,13,91.62169
-1.379585,6,92.01114
2.0,13,93.056098
7.170485,11,93.972407
6.552057,12,95.051709
1.606136,13,96.194541
3.536705,13,97.621815
0.695809,13,98.71618
8.617423,10,99.594149
-2.033958,6,99.995559
-2.0,4,100.349322
-2.0,5,100.737274
4.472863,13,101.857479
1.0,13,102.84791
8.562943,11,103.631542
0.0,6,104.120158
0.0,6,104.602418
8.618513,10,123.401371
8.617423,10,124.306425
-1.379585,7,125.015674
-2.676484,6,125.548422
7.549949,10,126.428148
6.626744,12,127.55759
0.0,7,128.202889
7.462083,13,129.224771
-3.0,10,130.116306
-1.379585,6,130.509178
7.471021,12,131.306955
-2.0,7,131.857567
-3.439021,9,132.531234
1.549852,13,133.52565
5.231355,13,134.449189
3.098845,13,135.469083
-1.0,5,135.86602
1.837196,13,136.984122
4.154011,13,138.108525
8.0,13,139.218444
-1.0,6,139.695033
2.552127,13,140.639028
3.0,13,141.566813
0.0,6,142.078722
-2.444964,6,142.501101
3.47331,13,143.642863
-4.449808,11,144.805331
2.629652,13,145.872131
-2.382567,7,146.446711
3.15423,13,147.541736
0.0,6,147.976175
7.0,13,149.030192
-1.366575,6,149.579087
-1.740161,6,149.959489
2.164137,13,150.970455
-1.0,6,151.541659
7.287531,10,152.263312
-2.436558,6,152.779218
7.552044,10,153.547393
2.0,13,154.613278
7.0,13,155.619484
3.142583,13,156.902411
-2.0,6,157.484316
-2.0,4,157.829306
-0.373185,7,158.45699
5.589848,12,159.353965
0.0,6,159.90378
-2.370348,5,160.273891
4.167228,13,161.325342
-1.0,5,161.729779
0.0,7,162.277049
0.0,6,162.756147
0.0,6,163.311786
-2.0,4,163.651764
0.617847,13,164.807039
0.0,6,183.413789
-2.754779,7,183.96526
5.0,13,185.066221
-4.0,9,185.805138
-0.31878,7,186.512227
8.28598,11,187.54225
-2.577249,3,187.823836
4.457469,13,188.890731
0.0,6,189.363838
0.0,7,189.871153
8.618513,10,190.738268
-1.684108,7,191.298017
-3.372844,7,191.770841
0.0,5,192.128569
-3.38444,8,192.639713
0.604341,13,193.665424
0.0,6,194.114739
5.16152,13,195.119747
-0.382068,7,195.739497
10.0,10,196.583949
9.0,9,197.310032
-3.0,6,197.853705
2.0,13,198.972111
8.0,8,199.572436
4.025744,13,200.590987
6.865966,12,201.596265
9.0,9,202.429617
6.525113,13,203.714373
6.025295,13,204.704255
7.616072,10,205.542894
-2.370348,7,206.037182
-2.438646,8,206.73401
8.549876,11,207.61742
0.0,13,208.840226
-2.436558,6,209.368443
7.626732,9,210.084514
1.0,13,211.239419
4.167971,13,212.229976
0.0,6,212.692111
5.168697,13,213.634125
4.164981,13,214.602484
7.550321,10,215.414701
8.633113,10,216.33584
-2.444964,6,216.970969
3.850596,13,217.940192
9.0,9,218.61478
-1.379585,6,219.124151
-3.316297,6,219.649184
-1.372771,6,220.203968
5.243839,13,221.282673
8.552042,11,222.235285
-1.318719,6,222.742624
6.156799,11,223.590052
9.0,9,224.33428
7.681208,10,225.248004
7.243579,10,244.116787
-0.57992,5,244.490185
8.0,9,245.240669
-0.31878,6,245.711961
-1.0,6,246.239827
-2.444964,6,246.806884
-3.0,10,247.685195
9.0,9,248.475781
-0.381509,10,249.393822
8.615645,10,250.203778
8.617423,10,250.861005
-2.436558,6,251.348517
6.468773,13,252.397682
-4.0,10,253.233011
4.604657,13,254.26518
-3.440569,12,255.300367
6.457162,13,256.330098
7.298444,10,257.232519
6.0,13,258.265161
0.0,6,258.789461
7.617435,9,259.554142
-1.372771,5,260.03101
8.615645,10,260.872008
6.959959,11,261.737828
-1.0,5,262.148092
8.550311,11,262.918144
-1.0,8,263.611697
-1.366575,6,264.243604
-1.318719,6,264.684885
2.858319,13,265.687321
-3.047599,7,266.228698
-2.065064,9,267.014538
0.700013,6,267.48023
5.154822,13,268.643017
7.525491,12,269.725249
10.0,10,270.559873
-2.687862,6,271.065413
-1.447446,7,271.689523
0.0,6,272.159308
8.297078,11,272.99307
-1.0,5,273.360388
8.616025,10,274.033841
-1.0,6,274.50636
-0.449307,8,275.199613
1.550114,13,276.400191
8.0,8,276.976252
-1.0,5,277.363095
-4.0,13,278.502919
8.245287,11,279.508
0.0,6,280.022803
-1.366575,6,280.473355
-2.458619,7,281.034352
-4.0,13,282.145998
-1.0,6,282.672458
9.0,9,283.426912
8.681208,10,284.214005
-1.0,5,284.551653
0.0,6,285.068159
6.150257,13,304.233781
0.0,6,304.699627
7.61852,9,305.547701
-0.382068,6,306.073369
8.0,8,306.654302
-1.0,5,307.015033
9.0,9,307.628569
7.299766,10,308.407421
-1.991517,6,308.826591
0.0,5,309.189611
9.0,10,309.980324
0.0,6,310.475669
9.0,9,311.176245
-1.0,8,311.953902
6.547625,13,312.96978
-1.0,5,313.40608
-1.0,5,313.789318
-0.841249,5,314.194349
-1.0,5,314.617271
7.617435,9,315.259001
5.523582,13,316.193948
-0.666847,6,316.604284
-1.379585,6,317.116437
3.620415,13,318.068005
-2.365057,7,318.65234
-1.0,5,319.066797
-2.0,5,319.420222
9.0,9,320.188914
-5.0,1,320.26409
-2.370348,5,320.814234
1.0,7,321.365541
7.237511,11,322.243897
2.158667,8,322.951985
-2.474896,12,323.791283
-1.0,5,324.182699
8.681208,10,325.006414
7.525446,12,325.863398
7.244191,11,326.671408
-3.434136,7,327.239698
-2.373197,8,327.824296
2.560976,13,328.961498
7.681208,9,329.598392
8.244119,13,330.763468
5.0,13,331.840599
-3.0,5,332.195589
-2.447873,7,332.772213
9.0,9,333.519013
-2.702524,7,334.102815
0.0,6,334.568454
8.617423,10,335.447356
0.550069,13,336.535173
-2.108744,8,337.383407
1.0,7,337.856394
2.60432,13,338.864147
1.604339,13,339.866027
9.0,9,340.538631
5.559434,13,341.489396
0.0,6,341.992411
-0.382068,7,342.559669
8.616025,10,343.534656
-1.0,6,344.056354
7.550194,10,344.820611
-2.0,6,369.896509
0.0,6,370.547383
0.0,6,371.163267
-1.0,6,371.669786
7.457546,13,372.939822
3.0,13,374.119156
7.244344,11,375.186139
7.259887,10,376.099597
0.0,7,376.68428
7.231081,11,377.510546
7.626732,10,378.312839
7.550194,10,379.056409
-0.381164,6,379.399112
7.459464,13,380.338916
8.617423,10,380.992899
7.633114,9,381.675324
-1.379585,6,382.089092
-1.0,7,382.690308
-1.0,5,383.05643
6.159535,13,383.988759
2.0,8,384.537808
7.0,9,385.239452
8.0,8,385.924868
-1.460526,7,386.454859
-2.449806,8,387.04633
-0.57992,5,387.434437
-2.540273,6,387.889065
7.314328,10,388.64547
9.0,9,389.31563
-1.931388,5,389.741438
6.552816,9,390.442283
7.681208,9,391.136777
0.0,6,391.645
-1.366575,6,392.144802
6.469149,12,393.042541
11.0,11,394.03096
0.0,6,394.541566
8.0,8,395.121498
-1.372771,5,395.481725
-2.444964,6,396.106104
4.538961,13,397.066111
7.552042,11,397.932601
8.615645,10,398.637799
-2.0,9,399.25473
-1.379585,6,399.811988
7.61852,9,400.610275
-3.0,5,400.963129
-1.366575,6,401.47652
-3.782075,10,402.253531
8.615645,10,403.005016
7.237511,10,403.850552
0.0,7,404.401037
3.127962,13,405.357684
9.0,9,406.091272
-4.439023,12,407.079708
9.0,9,407.839526
8.633113,10,408.592369
0.0,5,408.950357
-3.448556,10,409.807742
-1.446814,7,410.408564
-3.0,11,429.092986
0.0,6,429.585346
-2.0,4,429.837021
0.0,5,430.205964
-1.666651,5,430.530539
-1.366575,6,431.044287
8.62673,10,431.828562
0.0,6,432.310719
7.24229,11,433.122906
-1.0,5,433.519828
-2.550552,6,433.947974
-0.225293,7,434.512023
0.0,6,435.026117
6.534742,13,435.96999
8.633113,10,436.891404
10.0,10,437.723179
0.0,6,438.171464
-0.382068,7,438.702795
8.618513,10,439.405568
5.488255,13,440.422536
4.960215,13,441.331099
8.615844,10,442.095657
-1.0,5,442.4523
9.0,9,443.177104
7.552044,10,444.025374
0.0,6,444.507979
-3.380207,11,445.518985
-1.84084,4,445.94749
9.618511,11,446.909331
-1.0,7,447.429276
7.297505,10,448.185707
9.0,9,448.781734
-1.57953,4,449.083144
6.175093,11,449.836243
10.0,10,450.572567
0.618567,8,451.156904
7.552807,11,452.005846
-1.84084,4,452.381424
0.0,6,452.920943
-1.0,5,453.330698
-0.666847,6,453.771487
8.459731,13,454.873115
9.0,9,455.673904
9.0,9,456.363832
8.0,10,457.119747
-1.366575,6,457.540612
8.538593,12,458.395436
-2.0,6,458.917853
8.0,8,459.475427
7.550321,10,460.215371
5.615511,12,461.187848
-1.224867,6,461.707366
-2.0,4,462.115327
10.0,10,462.845148
7.459742,12,463.766085
10.0,10,464.613253
10.0,10,465.353858
8.615645,10,466.089804
8.0,10,466.971879
7.552807,10,467.77178
-1.0,5,468.107821
6.257827,9,486.827996
-1.366575,6,487.150307
0.0,6,487.622312
6.0,13,488.569175
-0.681243,6,489.115995
9.0,9,489.852877
4.523129,13,490.936947
2.273926,13,491.884818
-2.729703,6,492.475049
7.633114,9,493.282153
9.0,9,493.984703
8.47294,12,494.920617
-0.382068,6,495.314348
10.0,10,496.086889
0.0,6,496.520118
7.681208,9,497.311654
-2.0,4,497.588889
7.616072,9,498.225796
-2.676484,5,498.658319
9.0,9,499.212193
-1.299552,4,499.525241
9.0,9,500.173796
3.551386,13,501.260768
-1.372771,5,501.645501
-1.0,6,502.132749
1.0,13,503.016593
-3.818787,9,503.630893
9.615832,11,504.485748
-2.0,7,505.056893
6.62673,9,505.75882
8.681208,10,506.481288
-1.366575,6,507.016048
-1.318719,6,507.452516
9.0,9,508.179576
9.0,9,508.92268
9.0,9,509.590313
7.457482,13,510.645146
-1.0,5,510.938132
10.0,10,511.735633
2.948803,13,512.748484
8.616025,10,513.411367
-3.316297,7,513.955776
1.560752,13,515.132615
7.539083,11,515.993865
8.0,9,516.743113
7.913474,12,517.784211
7.54087,11,518.618563
6.595864,13,519.682185
-1.208208,6,520.195697
-3.316297,4,520.530738
9.0,9,521.20444
-1.439239,11,522.091852
8.617423,10,522.926347
0.0,13,523.891362
-1.0,5,524.27649
-1.0,6,524.818341
7.232946,11,525.563112
-1.372771,7,526.144361
0.0,6,544.546422
8.549876,11,545.473686
9.0,10,546.350582
9.0,10,547.062223
-0.447871,8,547.719025
9.0,9,548.437096
10.0,10,549.211447
-1.0,4,549.491252
0.0,5,549.900189
8.681208,10,550.692101
0.0,5,551.118506
0.158681,6,551.568888
-0.437043,8,552.179351
-1.0,5,552.592341
7.61852,9,553.223119
10.0,10,554.05768
-2.0,6,554.510716
2.551444,13,555.59667
7.237511,10,556.423423
7.2423,11,557.295872
0.0,6,557.696351
9.0,9,558.362619
-2.436558,7,558.81466
8.615844,10,559.549211
9.0,9,560.240269
