#{"t_start": 1765366022.8757837, "env_id": "intersection-v0"}
r,l,t
7.921925,12,4.970897
1.565864,13,6.019458
3.604273,13,7.040134
-2.450204,13,8.076487
3.538961,13,9.042163
5.931712,10,9.808365
-1.845522,10,10.707204
3.0,13,11.829889
6.617508,13,12.839406
4.468753,13,13.815339
2.626803,13,14.721157
-2.0,9,15.415953
-3.524424,11,16.406385
6.16273,12,17.394298
-0.646819,8,18.025985
4.473179,13,19.027845
-2.447956,9,19.787042
-1.372771,6,20.170325
3.562945,13,21.188388
6.471009,13,22.241554
-1.0,5,22.635131
0.0,6,23.069815
7.552807,10,23.77258
6.152179,13,24.804996
1.0,13,25.755751
6.196359,10,26.537777
-2.523997,6,26.920464
-3.356173,8,27.499087
8.62673,10,28.203118
5.794207,13,29.153004
-1.366575,6,29.597986
1.643827,13,30.592468
6.187577,10,31.330775
0.0,6,31.827035
1.604339,13,32.915796
-1.0,8,33.545604
-2.436558,7,34.102083
8.0,8,34.681686
7.101684,12,35.592456
5.618567,13,36.561058
1.847307,13,37.595228
6.488255,10,38.314441
1.174346,13,39.323211
4.633166,13,40.388705
4.626815,13,41.548922
5.618567,13,42.525799
1.683703,13,43.703436
-1.0,7,62.922502
2.0,13,63.88112
6.540872,10,64.777043
6.616343,10,65.58829
5.459015,13,66.79213
7.0,12,68.114179
-2.770238,9,68.944029
8.0,13,70.026559
5.905332,11,71.010086
-3.098343,9,71.818058
-2.0,5,72.224105
9.0,9,72.983769
-2.0,4,73.352276
9.0,9,73.961128
6.828647,13,74.987615
7.156329,12,75.862651
4.171232,13,76.775299
8.472951,12,77.783871
7.174773,12,78.677764
-2.0,11,79.627619
4.217212,13,80.606963
2.077968,13,81.586734
6.243891,12,82.624179
-2.436558,6,83.125802
0.695809,13,84.190126
3.563028,13,85.307251
3.022726,13,86.367866
-2.0,7,86.915327
5.633166,11,87.750853
-1.366575,6,88.240222
-1.0,6,88.682146
8.0,8,89.329865
-1.680047,5,89.672108
0.0,6,90.156886
7.219799,12,91.115355
9.0,9,91.827243
-2.318366,5,92.197303
0.0,6,92.631789
-1.372771,6,93.180455
7.617435,10,93.965791
-1.372771,5,94.439945
-0.57992,5,94.947275
10.0,10,95.799219
-1.57953,4,96.130408
0.0,13,97.521172
-1.459043,8,98.187588
-1.753971,8,98.917489
6.470964,13,99.943382
-3.780447,11,100.877217
-1.379585,6,101.377693
4.0,13,102.409604
-1.0,5,102.763933
6.459006,13,103.781082
-1.373258,7,104.365178
-1.0,6,104.790795
6.0,13,123.8426
10.0,10,124.846469
5.549806,13,125.933323
7.61852,9,126.881789
-2.526687,9,127.714197
-2.444964,6,128.227154
6.552816,9,128.852336
7.617435,9,129.705905
-2.0,4,130.021047
-4.38635,11,130.840184
0.695809,13,131.745021
-1.446814,6,132.185077
6.155264,13,133.195355
7.550194,10,133.916286
-3.0,4,134.186894
-2.0,6,134.629637
4.914848,12,135.572762
-2.540275,12,136.591011
7.616072,9,137.372802
-2.676484,8,138.031346
6.104246,12,139.075313
9.0,9,139.814517
6.976683,11,140.605362
-1.318719,6,140.956641
-3.316297,6,141.420581
-3.316297,6,141.936556
8.633113,10,142.628378
-5.0,1,142.693836
2.634943,5,143.209466
-3.034573,6,143.800924
-0.31878,7,144.449567
6.633121,8,145.199482
-1.540208,11,146.169048
-1.0,9,146.872768
4.012713,13,147.90023
-3.0,7,148.613864
7.173894,12,149.463023
-2.527137,12,150.376184
6.976683,11,151.244166
-1.379585,6,151.777146
1.217856,13,152.823617
7.525491,12,153.748336
-0.299923,5,154.120216
-2.51166,7,154.696233
1.683703,13,155.716501
8.183595,12,156.976897
3.0,13,158.102913
-1.0,5,158.538861
-1.379585,6,158.978684
4.457469,13,160.084154
7.616072,11,160.911514
5.55018,12,161.924869
2.0,13,162.9399
6.552057,10,163.853763
-1.0,5,164.349657
-1.379585,6,164.815616
-2.676484,6,183.419734
1.604659,13,184.52242
-2.0,4,184.81817
3.460097,13,185.929048
8.618513,10,186.925041
7.615917,9,187.748045
6.523129,13,188.791288
-1.436972,7,189.39978
8.47294,12,190.352036
0.158681,6,190.838359
7.62673,10,191.580906
-3.220202,4,191.87659
-3.81208,8,192.375424
-3.0,8,193.024402
9.0,9,193.674491
1.627156,13,194.69423
-1.697431,7,195.265068
6.523131,13,196.2836
0.0,6,196.817471
-2.0,10,197.71093
8.616025,10,198.553725
-2.370348,5,198.961969
9.0,9,199.689901
7.459803,12,200.595245
-3.342497,6,201.160517
7.471021,12,202.199556
-0.373185,6,202.823725
1.0,13,203.978999
-1.379585,6,204.414083
7.615917,10,205.204538
-1.0,7,205.774819
1.309672,13,206.843541
-1.0,5,207.256948
9.0,9,208.066437
-2.365057,5,208.490422
7.300606,10,209.383996
-2.373197,6,209.917731
5.167022,13,210.992108
-1.373258,7,211.619149
-2.370348,13,212.563937
-1.366575,6,212.967256
-1.379585,6,213.414031
-3.0,6,213.844971
-3.316297,9,214.556012
-0.299923,5,214.957293
-3.329591,6,215.426266
-1.372771,6,215.986505
-2.754779,7,216.740998
8.615844,10,217.489346
9.0,9,218.177799
10.0,10,218.962174
-2.382567,7,219.568309
-2.51166,8,220.298419
-2.436558,6,220.758187
-2.365057,5,221.227484
3.0,13,222.451091
7.617435,9,223.02013
7.616072,9,223.780818
0.420014,6,224.276407
4.118772,13,225.407934
-1.0,5,243.947874
6.172077,10,244.696438
1.0,13,245.716943
-2.0,7,246.351901
-1.366575,6,246.91423
7.169592,11,247.873765
6.036266,13,249.089178
-0.449307,8,249.672075
0.0,6,250.172364
-1.366575,5,250.541122
-1.646455,7,251.044855
7.681208,9,251.749172
-3.0,6,252.222811
7.024745,11,253.137961
2.613583,13,254.211699
10.0,10,254.993264
0.158681,6,255.509074
3.604283,13,256.641149
5.16735,13,257.745034
6.536747,11,258.607643
-2.370348,5,259.059081
-1.0,7,259.653703
0.0,6,260.22001
4.549797,12,261.232513
-2.370348,5,261.620322
9.0,9,262.331064
-1.379585,7,262.801003
-0.57992,5,263.272991
-0.299923,5,263.657551
-3.372844,11,264.617579
-0.841249,5,264.973798
3.165943,13,266.019541
-1.372771,6,266.50089
10.0,10,267.297508
0.0,5,267.795657
1.0,13,268.883814
-3.712106,7,269.57292
9.0,9,270.31438
5.9787,10,271.209214
8.235026,11,272.089703
6.175093,11,272.932876
-2.373197,6,273.377218
7.457484,13,274.332675
6.537043,13,275.370196
0.0,6,275.909095
-1.0,5,276.380626
-2.0,7,276.932435
-1.0,5,277.291893
-2.0,5,277.828361
1.473377,11,278.757235
6.925997,11,279.661629
7.626732,9,280.403737
-2.824831,8,281.040794
7.626732,9,281.803066
-1.373258,7,282.441246
6.156207,13,283.554965
-1.379585,6,284.049251
-2.540284,12,284.921906
4.0,13,286.111229
10.0,11,304.992612
-3.356173,4,305.388841
-1.84084,4,305.736738
3.951175,13,306.763034
6.552042,10,307.448371
-1.747991,6,307.910655
-3.0,9,308.575575
4.459779,13,309.603692
7.457483,13,310.589931
0.0,6,311.022379
-3.0,8,311.811029
8.618513,10,312.613155
-1.373258,7,313.157233
9.0,11,314.086014
-2.676484,6,314.524121
7.539083,11,315.388627
1.0,13,316.311334
7.616072,9,316.903348
-0.841249,5,317.304119
-0.841249,5,317.736331
-1.373258,6,318.177987
6.103834,12,319.15281
-0.31878,6,319.653079
9.0,9,320.440348
9.0,9,321.232095
-1.0,6,321.699487
9.0,9,322.418793
7.11671,12,323.327913
0.0,6,323.786717
5.216333,12,324.774281
-1.0,6,325.195342
6.166774,13,326.179857
-1.0,5,326.487412
-2.0,6,326.988738
7.250792,10,327.745098
0.0,13,328.904581
-1.666651,5,329.203566
5.461692,13,330.373142
-3.0,10,331.272989
7.617435,9,331.92786
9.0,9,332.63558
0.0,6,333.213462
-3.316297,7,333.728504
-1.0,5,334.118834
-3.0,12,335.094638
7.617435,9,335.811093
5.091067,13,337.145666
10.0,10,337.905623
-1.0,5,338.258675
0.0,7,338.786095
-0.437043,8,339.399426
0.0,6,339.872107
8.615645,10,340.651392
8.549894,11,341.419691
0.0,5,341.799378
6.473388,11,342.766587
4.549861,12,343.877774
3.090292,13,344.954461
0.0,6,370.056564
7.61852,10,371.033638
9.0,9,371.825106
-1.373258,7,372.527552
-1.366575,6,373.156505
-1.0,5,373.586977
-1.372771,6,374.083428
1.0,13,375.420347
-1.0,5,375.88256
-0.373185,7,376.433308
-1.437055,8,377.061977
-1.447446,7,377.636088
-1.57953,4,377.916217
-2.318366,5,378.307952
7.562943,11,379.154857
9.0,9,379.720318
8.185206,12,380.542359
-2.370348,5,380.832466
-2.676484,7,381.457732
5.0,13,382.373931
9.0,9,383.077745
-1.372771,6,383.485901
9.0,9,384.162948
7.46871,13,385.127196
-2.0,6,385.606409
3.615558,13,386.6164
-3.356173,10,387.382658
-0.373185,7,387.90467
6.537046,11,388.743482
7.457484,13,389.748337
6.459015,13,390.743999
-2.0,4,391.058072
6.633121,8,391.777361
7.616072,10,392.494956
9.0,9,393.274148
7.681208,10,394.176602
0.0,7,394.727737
-0.366834,7,395.227401
-1.436972,7,395.824107
-1.450203,13,396.874324
-2.0,5,397.235824
-0.931455,6,397.70845
5.539148,9,398.386889
0.604273,13,399.288718
1.604273,13,400.448601
-2.00463,8,401.100193
-1.0,5,401.496605
-1.0,5,401.855913
0.0,6,402.357187
9.0,9,403.038269
-1.373258,7,403.564743
9.0,9,404.313974
-1.84084,4,404.633309
-1.0,6,405.05792
-2.0,4,405.358711
7.178213,11,406.255462
-2.526331,8,406.905354
-1.634655,5,407.387836
-1.0,5,407.758128
7.552044,10,408.525254
8.549876,11,409.390931
-0.57992,5,409.817245
6.178448,13,428.637165
8.633113,10,429.512902
-2.370348,6,429.926321
-0.366834,7,430.4391
-1.0,5,430.824838
0.0,5,431.201832
-2.373197,6,431.661913
8.297037,12,432.668327
0.0,6,433.06512
8.617423,10,433.79714
7.626732,9,434.533164
-2.000061,6,435.030936
7.61852,9,435.690656
-2.738798,8,436.416884
9.0,9,437.148109
0.0,6,437.667947
0.0,6,438.10639
0.0,6,438.574737
6.860206,12,439.423201
5.0,13,440.462971
9.0,9,441.087254
9.0,9,441.71514
8.297272,11,442.555174
-3.460636,7,443.087519
6.231846,11,444.065922
10.0,10,444.897325
4.523129,13,446.180643
-0.963021,6,446.674396
-1.0,6,447.178157
8.681208,10,447.853455
-1.0,5,448.283504
6.550267,9,448.915593
7.61852,9,449.553818
7.617435,9,450.092208
9.0,9,450.837413
10.0,10,451.533337
7.550321,10,452.397431
8.616025,10,453.196729
6.103991,12,454.202065
9.0,9,454.973431
0.0,6,455.487988
7.552044,10,456.30748
7.251683,10,457.04386
9.0,9,457.708257
-3.511246,7,458.20734
7.457483,13,459.170465
0.0,6,459.662358
-1.0,5,460.055503
9.0,10,460.805772
7.538666,11,461.759337
9.0,9,462.541975
10.0,10,463.214144
9.0,9,463.945135
-1.0,5,464.304735
-2.0,3,464.624788
0.0,6,465.073849
0.318553,7,465.602072
5.170605,11,466.463346
7.222012,12,467.475313
0.0,6,467.959582
-2.0,7,468.512268
1.158669,7,486.974149
-1.0,6,487.337819
6.562945,9,487.997187
8.616025,11,488.860804
7.615917,9,489.669991
9.0,9,490.407868
7.552044,10,491.157216
-3.0,11,492.050837
-2.373197,6,492.59731
-2.0,4,492.929681
0.0,6,493.436496
-2.0,4,493.753446
5.53896,11,494.629705
0.0,5,494.996694
-3.434136,5,495.375417
0.0,6,495.868105
6.475494,10,496.556562
-1.757211,8,497.237371
-1.0,5,497.637926
7.550194,10,498.346411
0.0,6,498.800188
9.0,9,499.360369
-0.31878,7,499.872734
8.0,9,500.666235
-3.448228,8,501.290633
10.0,10,502.065565
0.0,6,502.481079
-1.0,6,502.866833
2.525092,13,503.86252
8.538961,12,504.765048
10.0,10,505.588756
-2.529033,10,506.301365
9.0,9,507.030388
7.626732,9,507.709909
-0.57992,5,508.101693
0.158681,6,508.596396
6.161518,13,509.58882
-1.366575,6,510.046834
-2.0,6,510.564364
-0.54012,10,511.272741
9.0,10,512.086713
-1.0,5,512.398962
10.0,10,513.155442
8.0,8,513.715673
7.229499,11,514.691264
-1.57953,4,515.049022
9.0,10,515.844847
-1.446814,7,516.463521
8.62673,11,517.398225
9.0,9,518.120838
6.15841,11,518.919795
-1.960532,5,519.336915
4.114781,13,520.462553
9.0,9,521.127514
0.158681,6,521.618017
8.618513,10,522.459908
-3.434136,6,522.936184
-3.356173,6,523.319589
7.473313,11,524.238712
9.0,9,525.003144
8.615645,10,525.660898
-1.0,5,526.049721
-1.57953,4,526.42809
-1.0,6,544.837687
8.681208,10,545.654484
0.0,6,546.147938
6.56108,12,547.111884
-2.524494,8,547.725683
8.552805,11,548.631202
9.0,9,549.299476
9.0,9,549.982373
-1.0,5,550.40132
-2.318366,10,551.245078
0.700013,6,551.659974
-1.366575,6,552.100995
5.208336,12,553.017632
-1.0,5,553.42371
10.0,10,554.238385
9.0,9,554.890001
7.615917,10,555.733355
-0.366834,7,556.345893
-1.379585,6,556.793045
-1.0,5,557.229086
-1.366575,6,557.644614
-3.382507,6,558.086009
7.53896,12,558.895283
-1.0,5,559.245437
-1.0,5,559.638186
-3.447459,8,560.259213
-2.0,6,560.844654
6.161517,13,561.779937
-1.0,5,562.158384
-2.438646,8,562.811015
-1.0,5,563.22016
-1.447446,7,563.674695
-2.0,4,563.92618
0.0,6,564.445979
6.562945,9,565.17551
0.158681,6,565.587126
-2.960228,7,566.083151
8.633113,10,566.952495
0.420014,6,567.433793
8.615645,10,568.196847
9.618511,11,569.119875
8.475491,12,570.142359
-1.57953,4,570.497779
-2.0,8,571.102343
-1.366575,5,571.51851
0.0,6,571.938659
-3.0,3,572.151999
-1.299552,4,572.455775
8.681208,10,573.203187
-1.690719,7,573.7401
-1.0,5,574.120898
-0.382068,7,574.627857
-1.318719,6,575.133376
8.633113,10,575.979668
7.550194,10,576.726439
5.865213,12,577.619928
-0.7494,7,578.073283
10.0,10,578.831221
0.158681,6,579.310137
-0.366834,7,579.837092
-2.0,4,580.145251
7.616072,9,580.841818
10.0,10,581.69905
9.0,9,582.359878
9.0,9,583.095416
5.215567,13,584.225204
1.0,7,602.213449
-1.0,7,602.715909
-0.299923,5,603.011965
9.0,9,603.73075
-1.0,5,604.226857
8.618513,10,605.070653
0.0,5,605.472751
0.0,6,605.958698
9.0,9,606.672794
-1.372771,5,607.117941
-1.0,7,607.713744
6.231725,10,608.588912
7.114605,13,609.626419
9.0,9,610.423917
-0.31878,7,610.988065
-1.960532,5,611.384962
-0.963021,6,611.831916
6.525441,13,612.828554
9.0,9,613.520119
-3.384158,7,614.018485
9.0,9,614.663969
-1.84084,4,614.967831
0.0,6,615.423225
9.0,9,616.209403
7.54087,11,617.089449
6.470642,12,617.976685
10.0,10,618.746681
-1.366575,6,619.191772
0.0,6,619.611469
9.0,9,620.302011
7.550194,10,620.973683
