#{"t_start": 1765366022.8593159, "env_id": "intersection-v0"}
r,l,t
6.470694,12,5.012665
5.540872,13,6.036935
3.0,13,7.035105
0.0,13,8.118145
4.47331,13,9.058801
-2.365057,5,9.464735
-3.450125,8,10.118991
-3.440893,13,11.24324
-1.0,5,11.672708
-1.0,6,12.142865
0.0,6,12.582883
-0.747146,7,13.155794
-1.94673,5,13.51496
-0.299923,5,13.901839
7.681208,9,14.537679
10.0,10,15.252583
7.617435,10,16.140016
-2.0,8,16.818324
1.613629,13,17.803628
2.0,13,18.826125
-1.476881,13,19.95681
2.549797,13,20.878937
2.206725,13,21.858435
-2.0,8,22.566961
8.62673,10,23.298588
4.775879,13,24.223923
-2.370348,6,24.74078
-3.525197,9,25.412745
1.256505,13,26.40239
0.550068,13,27.325593
0.0,13,28.200078
10.0,10,28.933359
-2.370348,5,29.287745
6.617508,11,30.114065
0.0,13,31.090245
-3.449736,7,31.695949
1.536727,13,32.69957
-0.366834,7,33.29539
5.288401,13,34.343293
8.633113,10,35.09897
1.0,13,36.07712
1.0,13,37.079203
-2.0,6,37.478579
1.551772,13,38.505799
-2.770501,8,39.028163
1.549875,13,40.145869
-1.0,6,40.663837
-1.318719,7,41.288239
-1.697431,7,41.808445
2.0,13,42.906843
2.626803,13,44.087136
9.0,9,63.325225
-2.318366,5,63.734957
6.179853,11,64.700693
-1.0,5,65.105875
1.0,13,66.236519
-3.438636,7,66.981173
-1.379585,6,67.595321
-0.381164,7,68.282297
-3.0,4,68.605379
0.0,13,69.830203
0.551658,13,70.928945
-3.511246,7,71.583188
-2.393478,8,72.227514
1.683703,13,73.408437
-2.370348,5,73.72911
-3.384158,7,74.214394
-2.370348,5,74.660749
-3.447459,6,75.083273
-2.0,10,75.788146
0.0,5,76.148462
-1.372771,6,76.520437
1.285893,13,77.592573
1.0,13,78.617356
1.615502,13,79.710417
0.549797,13,80.717257
-1.52669,10,81.475527
-1.765693,11,82.396057
2.164926,13,83.48252
-2.845451,9,84.206518
-1.0,6,84.675661
-2.756723,7,85.296589
-1.0,7,85.90144
-0.698647,7,86.485701
-1.0,5,86.873566
8.0,8,87.505797
6.101781,12,88.438769
-2.0,7,88.931486
2.549795,13,89.939427
-1.379585,6,90.366343
10.0,10,91.201408
-1.437055,8,91.840271
3.604556,13,92.832874
6.68121,9,93.571113
-1.299552,4,93.899576
7.633114,10,94.813599
-3.449819,9,95.604655
-2.523997,7,96.205422
-1.372771,6,96.905899
-1.0,6,97.535613
2.234322,13,98.62125
-1.318719,7,99.344579
8.617423,10,100.058599
3.488269,13,101.174351
-3.0,6,101.683142
3.552554,13,102.646493
-2.0,4,102.949108
-2.382567,7,103.470443
-2.436558,6,103.911201
1.604273,13,104.987542
-2.208147,5,123.317051
-0.373185,7,123.942745
0.0,6,124.547655
-1.0,5,125.055113
9.0,9,125.765407
-1.366575,5,126.272967
7.552807,10,127.233083
4.562957,13,128.427481
0.60626,13,129.429208
8.550182,11,130.373506
-1.0,6,130.745345
6.525504,11,131.519388
-2.81624,8,132.124287
-3.0,9,132.827906
3.18142,13,133.774412
3.099209,13,134.74884
0.0,6,135.136185
-2.44083,10,135.984487
1.483763,13,137.120025
9.0,9,137.817574
-1.0,7,138.52423
9.0,9,139.268306
-1.373258,7,139.815069
-2.0,5,140.134962
8.617423,10,140.861969
0.0,6,141.244848
-1.0,6,141.735656
-2.51166,7,142.326795
-3.356173,5,142.661756
1.683703,13,143.9674
-1.0,4,144.292036
-3.764309,10,145.207594
5.626815,9,146.016252
7.107089,12,146.97502
-1.0,6,147.482846
7.177029,11,148.361366
-1.0,6,148.857185
0.0,6,149.312446
0.0,8,149.899263
1.536659,13,150.937229
-1.0,5,151.349802
2.098069,13,152.398499
7.562942,11,153.280238
7.233205,13,154.311929
-1.0,5,154.712661
-3.356173,5,155.054463
1.53665,13,156.191442
4.794749,13,157.535222
6.596642,12,158.579007
2.283506,13,159.559056
5.5232,13,160.610267
4.459771,13,161.700874
-1.366575,6,162.131776
5.233851,12,163.21882
-2.461037,9,163.982585
4.472797,13,165.068901
-3.46334,11,184.105149
4.472853,13,185.218573
3.475118,13,186.302277
7.552044,10,187.356448
-3.772705,11,188.217094
-1.461025,9,189.008434
2.473179,13,189.999299
-1.299552,4,190.370965
10.0,10,191.150263
-0.57992,5,191.506653
1.0,7,192.036186
-1.379585,5,192.318581
-1.372771,6,192.743533
-1.539823,10,193.567494
4.0,13,194.557019
-1.960532,5,194.892037
7.626732,9,195.661723
-1.446814,6,196.156594
8.618513,10,196.977308
4.0,13,198.150734
-3.0,9,198.886488
6.459807,11,199.79428
6.68121,12,200.756256
4.470942,13,201.782733
4.177036,13,203.122604
7.550321,10,204.006738
-1.680047,5,204.346377
2.0,13,205.422864
7.552807,10,206.174836
3.0,13,207.263083
-3.382507,6,207.726391
-3.448603,11,208.770564
0.0,6,209.287388
-1.0,5,209.778555
-2.0,7,210.302114
0.626744,8,210.968945
-1.379585,5,211.491795
7.193374,11,212.287695
8.285894,11,213.073046
7.616072,9,213.730892
-2.46326,9,214.370656
4.0,13,215.461983
5.194458,13,216.783648
8.681208,10,217.505373
4.895236,12,218.417787
-2.370348,6,218.90478
4.219518,13,220.077948
-1.0,5,220.46515
-1.318719,6,220.93677
9.0,9,221.674004
-2.373197,6,222.31417
8.618513,10,223.05251
-2.0,7,223.59615
-1.0,5,224.038391
-1.0,5,224.434805
5.138757,13,225.650758
-3.461421,10,244.458507
-2.288439,6,244.946973
9.0,9,245.639087
0.0,5,246.075383
-1.447958,9,246.943105
-0.381164,7,247.518504
4.538242,13,248.731565
-2.0,5,249.195613
7.257553,12,250.106532
-3.448294,12,250.997159
8.633113,10,251.763445
-1.372771,6,252.232961
10.0,10,253.05513
0.0,6,253.54416
6.550375,9,254.326987
5.180394,11,255.191507
1.604553,13,256.230005
-2.260084,6,256.852432
-2.370348,5,257.279037
8.616025,10,258.07328
7.306349,11,259.023766
0.0,6,259.500282
0.0,5,259.923765
-2.0,6,260.481575
7.154469,12,261.468136
9.617421,11,262.358718
9.0,9,262.994223
-1.0,5,263.450365
6.536725,12,264.463208
-4.439294,10,265.253657
3.140877,13,266.279665
2.0,13,267.339025
0.0,6,267.885472
9.0,9,268.672212
6.114617,12,269.747365
-3.631866,5,270.176301
-2.373197,6,270.684771
8.615844,10,271.536225
6.604611,13,272.509578
0.158681,6,273.028419
9.0,9,273.740924
-0.681243,6,274.065423
-3.745895,7,274.647025
6.103991,12,275.644006
-1.511731,8,276.403126
9.0,9,277.113236
-1.437055,8,277.838521
7.681208,9,278.546196
-1.0,5,279.015279
7.288122,10,279.900552
-2.365057,11,280.785343
4.092183,13,281.793567
0.0,6,282.351873
4.457874,13,283.46021
0.0,6,283.948022
10.0,10,284.67136
-3.447459,7,285.302004
7.539083,11,304.261648
-1.372771,7,304.83494
8.618513,10,305.749056
8.550311,11,306.56567
6.105087,11,307.377623
9.0,9,308.086112
7.539083,11,308.881369
7.617435,9,309.612775
-3.448331,12,310.531902
4.522838,13,311.604058
-1.0,5,312.071217
-1.318719,6,312.537522
-1.684108,7,313.083352
6.617508,10,313.925255
7.103072,13,315.014303
-1.372771,6,315.377071
-2.0,7,315.862062
7.549949,10,316.582498
-0.681243,6,317.023767
7.231414,11,317.934644
-0.841249,5,318.252505
-1.379585,6,318.843217
-5.0,1,318.907162
9.0,9,319.581923
8.618513,10,320.474873
-1.379585,6,321.065583
-2.370348,5,321.376026
-1.446814,7,321.978841
7.232946,11,322.923609
5.097986,13,323.809008
-2.0,6,324.295645
9.0,9,325.059128
8.460174,13,325.962752
10.0,10,326.642452
0.0,6,327.153945
-0.57992,5,327.53892
8.229436,12,328.581624
7.626732,10,329.347642
9.0,9,330.070363
-2.0,11,331.067598
-1.84084,4,331.410425
0.0,6,331.845604
6.240691,13,332.919423
0.0,6,333.40486
-1.379585,5,333.838815
9.0,10,334.591164
8.562943,11,335.576743
7.23166,11,336.490349
-1.960532,5,337.059287
-1.0,5,337.502391
-2.0,7,338.008444
-2.0,4,338.258463
0.0,6,338.702621
-1.372771,6,339.179644
7.306361,10,339.98291
8.0,8,340.525935
9.0,9,341.221686
-0.299923,5,341.621243
6.037988,13,342.708788
-3.008716,8,343.452066
5.927596,10,344.332664
-3.440893,11,369.788083
5.62673,13,371.035879
4.0,13,372.203162
8.616025,10,373.299577
5.457031,13,374.412637
5.163829,13,375.714241
-1.0,5,376.119889
9.0,10,376.936594
-2.0,4,377.236436
-1.0,5,377.636472
3.7,9,378.338246
7.562943,11,379.170944
-2.373197,6,379.5042
-4.301415,6,379.950635
-4.0,8,380.494138
9.0,9,381.102745
8.0,8,381.712577
8.0,12,382.646041
-1.830533,9,383.332592
1.0,7,383.815534
9.633112,11,384.609025
