#{"t_start": 1765366022.8580418, "env_id": "intersection-v0"}
r,l,t
-2.373197,5,4.381216
2.0,13,5.523564
2.629652,13,6.487402
-4.382153,7,7.041735
3.549803,13,8.093908
-2.365057,6,8.57917
3.0,13,9.566963
0.0,13,10.615714
-1.0,5,11.086849
-3.382507,10,11.948933
0.551386,13,12.981602
-3.68703,7,13.402887
-2.370348,6,13.891781
0.0,6,14.273055
6.93972,11,15.066074
6.550179,12,16.13435
4.55287,13,17.2917
4.534743,13,18.270482
2.634943,13,19.307589
-2.0,8,19.94213
2.0,13,20.906077
0.0,13,21.868082
6.626732,13,22.976727
7.61742,11,23.698642
-1.0,5,24.063895
-3.0,6,24.553284
6.115429,11,25.412846
4.469151,13,26.401893
1.0,13,27.308405
8.62673,11,28.097479
0.0,6,28.46126
-2.460952,8,29.099407
4.5247,13,30.024184
-1.372771,5,30.405333
6.15841,11,31.281941
-3.449736,7,31.8876
0.0,13,32.915006
-2.0,6,33.408035
6.527406,13,34.436089
-1.0,5,34.779922
-2.444964,6,35.271297
4.229153,13,36.296089
-4.0,11,37.095616
-1.372771,6,37.487615
1.0,13,38.508223
4.55287,13,39.532578
-3.0,10,40.337487
0.0,13,41.449764
1.0,13,42.469035
-3.705383,8,43.22192
-3.382507,6,43.716737
-1.0,5,62.847079
3.315892,13,63.743739
-3.0,10,64.584778
2.233834,13,65.696374
-0.841249,5,66.110771
0.0,5,66.532144
-1.447446,7,67.42822
-1.0,5,67.911371
2.547931,13,69.167724
0.0,6,69.595531
1.549861,13,70.702609
8.0,9,71.609699
-1.372771,6,72.054778
0.0,6,72.608409
6.095895,12,73.617415
-1.381514,9,74.2118
-3.745895,7,74.814354
-2.756723,7,75.329087
-4.370775,7,75.772065
1.549741,13,76.702334
-2.775416,10,77.468513
-3.382507,8,78.194943
-2.88756,12,79.147283
6.457415,13,80.243232
-3.372844,6,80.611742
-2.0,8,81.243287
-3.395717,12,82.282825
-2.444964,6,82.720693
-2.370348,5,83.123649
-2.644326,6,83.648207
-1.697431,7,84.192732
7.626732,11,85.161793
2.541381,13,86.177407
2.0,13,87.242099
-3.563902,2,87.411585
-2.370348,9,88.074876
3.268779,13,89.119369
10.0,10,89.8499
1.0,13,90.873052
-3.460636,7,91.470602
0.0,13,92.42295
-2.444964,6,92.925727
-1.526176,8,93.552362
2.288295,13,94.744748
7.616072,12,95.840768
1.0,13,97.178201
0.0,7,97.81463
7.61852,11,98.763998
9.0,9,99.562465
6.534414,13,100.567806
-2.837212,12,101.555248
-2.023509,6,102.065819
-1.0,7,102.583045
-1.0,5,102.955996
0.0,6,103.370224
-1.0,11,104.309284
8.616025,10,123.045549
0.0,6,123.507851
4.807685,12,124.641956
-2.524494,8,125.397105
8.633113,10,126.259755
7.538963,11,127.358171
6.179217,11,128.328925
-3.0,5,128.679664
3.207883,13,129.813221
1.549786,13,130.786633
4.026881,13,131.676488
0.550114,13,132.656124
-3.356173,10,133.412916
-2.845451,9,134.088866
-3.449736,7,134.57282
0.0,6,135.020153
9.0,9,135.769916
-2.099386,7,136.364861
-1.372771,6,136.816374
-0.299923,5,137.301411
1.561015,13,138.429662
7.552044,10,139.252365
1.0,13,140.259019
3.17589,13,141.109424
-1.0,5,141.536084
-3.434136,8,142.188144
3.0,13,143.23642
2.220207,13,144.492612
7.633114,9,145.303552
-2.0,6,145.769222
-2.0,6,146.29328
-1.366575,6,146.81597
-2.106399,7,147.355612
2.681634,13,148.509032
2.473181,13,149.499861
6.552816,9,150.145797
-1.372771,6,150.605066
-1.372771,6,151.088286
-1.0,5,151.604688
7.552807,10,152.288575
-3.0,7,152.90376
8.62673,10,153.676287
2.230902,13,154.722567
6.180323,12,155.667982
7.562943,10,156.667439
5.845041,13,157.902884
6.626744,10,158.73675
-4.384554,11,159.589442
7.179589,11,160.480378
0.0,13,161.523865
-2.318366,5,161.929546
-1.318719,6,162.410755
-3.0,8,163.10352
4.880977,11,164.104076
-3.0,6,164.600573
-3.516227,12,183.699962
-2.019233,8,184.348973
6.773912,13,185.452018
4.459792,13,186.659683
0.0,5,187.092957
10.0,10,187.988632
-2.450521,10,188.765247
6.252099,9,189.560402
-0.381164,6,190.020335
-2.222375,5,190.446396
7.626732,11,191.317416
-0.373185,7,191.805119
-0.299923,5,192.177033
8.156327,13,193.12606
-1.318719,5,193.462481
2.143824,13,194.474534
-1.372771,6,194.914806
0.0,13,196.019726
2.634943,13,197.095062
-2.747974,8,197.820164
-1.0,6,198.30588
7.257553,10,199.145948
-1.318719,6,199.632259
1.0,13,200.632847
0.0,5,201.096066
0.0,6,201.596276
7.615917,9,202.356923
-0.830623,12,203.600914
-4.304191,8,204.1909
9.0,9,204.892263
-2.0,6,205.432729
-1.0,5,205.784495
-2.527126,11,206.695657
-1.372771,6,207.159646
-1.299552,4,207.532237
6.251599,11,208.517166
-3.372844,5,208.973432
9.0,9,209.804427
-2.4629,9,210.547181
8.617423,10,211.406014
-1.12275,12,212.331439
0.0,13,213.237488
8.189369,12,214.047484
-1.764072,8,214.753026
-1.0,7,215.280804
5.533964,13,216.491959
-2.373197,6,217.085251
-1.223103,6,217.522181
6.538722,10,218.276102
0.0,6,218.722688
-5.0,1,218.833053
-3.82443,2,218.952945
-1.0,5,219.423033
6.23413,11,220.405812
-1.0,7,220.964221
5.178584,13,222.038522
-0.382068,6,222.609553
1.0,13,223.643679
-2.318366,5,224.026281
0.0,6,224.516564
2.555036,7,225.199689
-1.447446,6,243.830064
-4.384098,7,244.283772
6.523121,13,245.351748
-4.386021,7,245.908321
-3.38636,10,246.86177
-1.0,5,247.280005
3.231842,13,248.428172
-1.94673,5,248.89348
-1.0,5,249.34444
-1.379585,6,249.801594
-2.458619,7,250.382361
0.0,6,250.75463
-1.0,7,251.274083
-1.0,5,251.709466
7.297505,10,252.514014
-1.0,6,252.930406
-2.0,6,253.455917
-2.78011,10,254.303327
5.184804,12,255.313927
-0.963021,6,255.75406
7.475492,11,256.758989
10.0,10,257.582598
3.523175,13,258.655075
7.615917,9,259.435104
-3.524424,9,260.247759
-3.448556,10,261.087823
-1.57953,4,261.391453
9.0,9,262.121653
9.0,9,262.726481
7.562943,10,263.578019
-5.0,1,263.65335
-2.318366,5,264.186659
-1.99791,6,264.622464
-3.329591,6,265.118036
9.0,9,265.825759
-1.540284,13,266.877317
-3.0,9,267.621984
0.0,6,268.134629
-0.841249,5,268.598821
-1.0,6,269.174974
-3.34799,6,269.657664
0.0,5,270.099828
-0.299923,5,270.495621
1.0,13,271.649676
5.459782,13,272.648754
2.0,8,273.260169
0.0,6,273.719454
1.0,7,274.165985
-2.447956,8,274.820799
2.472863,13,275.98271
-1.958347,5,276.386021
6.842165,12,277.316964
7.167282,12,278.374624
0.549843,13,279.562899
0.0,6,280.06356
-1.318719,6,280.509346
-3.0,4,280.833862
-0.946861,6,281.307512
-2.458619,7,281.935815
2.0,13,283.044256
0.0,5,283.470606
5.977049,10,284.264606
-1.0,5,284.5932
3.152275,13,285.75701
-3.377894,7,304.372512
7.62673,10,305.267304
7.617435,9,306.012591
8.0,8,306.600361
-1.0,5,306.980911
-2.436558,7,307.475834
7.62673,10,308.215645
-1.366575,6,308.657595
9.0,9,309.376251
-3.448276,9,310.036819
-2.436558,6,310.525598
-3.68703,7,311.047205
-1.0,5,311.479537
-1.0,6,312.097928
7.468773,13,313.100293
7.46241,12,314.080927
8.0,8,314.747007
9.0,9,315.389885
-0.373185,7,315.847752
5.559116,13,316.811719
8.0,8,317.421087
-1.0,6,317.89182
0.0,5,318.255872
-1.0,5,318.688498
8.633113,10,319.493372
-2.0,4,319.837343
6.299998,9,320.635658
9.0,10,321.543687
-0.373185,7,322.076148
8.549894,11,322.994596
6.15488,13,323.9148
0.0,13,324.995114
8.617423,10,325.659094
8.615645,10,326.371783
0.0,5,326.835794
-0.57992,5,327.151169
7.25046,10,327.964852
-1.747991,6,328.443945
5.550693,10,329.238054
10.0,10,330.082986
4.857264,13,331.298917
-1.447446,6,331.727225
6.231343,11,332.560136
-2.0,5,333.030563
3.627229,13,334.070815
4.457534,13,335.106032
1.0,13,336.20213
6.61852,13,337.534572
-1.0,6,337.899003
-3.712106,7,338.419824
-2.370348,5,338.805924
7.234022,11,339.660934
6.457929,13,340.676274
0.0,13,341.636246
-1.0,5,342.054127
5.870069,11,342.999072
-1.0,5,343.443338
8.0,8,344.17709
7.681208,10,344.954653
8.633113,10,370.513082
7.177029,11,371.550523
2.151877,13,372.77175
8.615645,10,373.670742
-2.0,6,374.272016
6.615829,11,375.335078
-1.318719,6,375.86724
0.0,5,376.300944
-1.0,5,376.724099
-0.841249,5,377.077657
7.473582,12,378.016544
8.314321,11,378.863468
7.108244,12,379.685048
7.259887,10,380.377382
9.0,10,381.008392
10.0,10,381.803811
-1.57953,4,382.050597
-1.222746,6,382.568567
9.0,9,383.234639
-3.0,5,383.590656
-1.0,5,383.949647
2.0,8,384.504444
8.681208,10,385.27193
-1.0,5,385.735803
-1.299552,4,386.054174
8.0,8,386.625651
-1.379585,6,387.09927
0.0,6,387.547795
-1.0,5,387.936448
-1.0,5,388.303952
-2.0,4,388.558468
-2.0,4,388.906062
-3.46334,11,389.83964
0.700013,6,390.17454
8.0,8,390.860837
2.681634,13,391.948305
7.53896,12,392.857867
-1.436972,7,393.56398
1.0,13,394.603087
-1.0,5,394.972363
-1.222746,6,395.36635
8.618513,10,396.26232
4.089228,13,397.289101
8.62673,10,398.045855
-1.318719,7,398.514988
8.0,11,399.360554
-0.57992,5,399.734265
9.0,9,400.556355
8.616025,10,401.369326
7.243579,10,402.106395
-1.379585,6,402.627524
0.0,6,403.074596
0.0,5,403.460205
0.0,6,403.969895
5.151787,13,404.948321
6.53639,12,405.868288
6.233019,10,406.726675
-1.0,5,407.123526
-1.0,5,407.595993
0.0,6,408.000244
-2.0,4,408.325779
-2.436558,6,408.76862
-1.372771,6,409.218812
-1.740161,6,409.754811
8.0,8,410.445546
9.618511,11,429.131034
6.172077,10,429.85531
-1.0,5,430.241488
-0.682533,6,430.677749
-0.31878,7,431.238628
0.0,6,431.718088
8.615645,10,432.520456
0.616343,8,433.095114
7.298444,10,433.832023
-2.370348,7,434.411532
6.154648,11,435.240814
7.616072,9,435.923955
7.472952,11,436.923983
8.615844,10,437.78852
1.0,7,438.256435
9.0,9,438.93582
-0.366834,7,439.437918
7.550194,10,440.196573
7.633114,10,440.946655
0.0,6,441.369066
6.615829,11,442.219219
-2.4629,9,442.85103
-0.778492,10,443.701901
-2.296811,6,444.276515
0.0,5,444.649747
8.549894,11,445.678114
-2.0,4,446.085055
7.152971,13,447.230601
-2.0,4,447.471088
6.231769,11,448.301964
0.617508,8,448.849272
-1.0,6,449.294177
-0.373185,7,449.713345
8.62673,10,450.412873
1.0,7,450.995893
7.552044,10,451.75043
7.538963,11,452.677881
7.633114,9,453.471331
-2.438646,8,454.071815
0.0,6,454.572387
7.626732,10,455.435219
0.0,6,455.94345
-2.0,7,456.490355
-2.0,7,456.985079
3.914615,12,457.871788
7.550194,10,458.662643
8.488254,12,459.504417
8.0,9,460.18794
0.0,6,460.65615
-1.318719,6,461.151578
-0.373185,6,461.674315
-0.381164,7,462.28991
9.0,9,462.975015
10.0,10,463.742636
9.0,9,464.445676
